1	1	 1 	 0 	 || 1	 1 	 0 	 || 1	 1 	 0 	 || *1	 1 	 1 	 || 
2	1	 1 	 0 	 || 1	 1 	 0 	 || *1	 1 	 0 	 || 7	 7.92308 	 6 	 || 
3	1	 1 	 0 	 || *1	 1 	 0 	 || 16	 7.92308 	 0 	 || 7	 7.92308 	 6 	 || 
4	*1	 1 	 0 	 || 7	 11.3846 	 0 	 || 16	 7.92308 	 0 	 || 7	 7.92308 	 6 	 || 
5	7	 21.7692 	 0 	 || 7	 11.3846 	 0 	 || ~16	 7.92308 	 0 	 || 7	 7.92308 	 6 	 || 
6	7	 21.7692 	 0 	 || 7	 11.3846 	 0 	 || 16	 14.8462 	 0 	 || ~7	 7.92308 	 6 	 || 
7	7	 21.7692 	 0 	 || *7	 11.3846 	 0 	 || 16	 14.8462 	 0 	 || 7	 14.8462 	 11 	 || 
8	*7	 21.7692 	 0 	 || 13	 21.7692 	 0 	 || 16	 14.8462 	 0 	 || 7	 14.8462 	 11 	 || 
9	13	 42.5385 	 0 	 || 13	 21.7692 	 0 	 || ~16	 14.8462 	 0 	 || 7	 14.8462 	 11 	 || 
10	13	 42.5385 	 0 	 || 13	 21.7692 	 0 	 || ~16	 21.7692 	 0 	 || 7	 14.8462 	 11 	 || 
11	13	 42.5385 	 0 	 || 13	 21.7692 	 0 	 || 16	 28.6923 	 0 	 || *7	 14.8462 	 11 	 || 
12	13	 42.5385 	 0 	 || ~13	 21.7692 	 0 	 || 16	 28.6923 	 0 	 || 13	 21.7692 	 16 	 || 
13	13	 42.5385 	 0 	 || *13	 32.1538 	 0 	 || 16	 28.6923 	 0 	 || 13	 21.7692 	 16 	 || 
14	*13	 42.5385 	 0 	 || 19	 42.5385 	 0 	 || 16	 28.6923 	 0 	 || 13	 21.7692 	 16 	 || 
15	19	 63.3077 	 0 	 || 19	 42.5385 	 0 	 || ~16	 28.6923 	 0 	 || 13	 21.7692 	 16 	 || 
16	19	 63.3077 	 0 	 || 19	 42.5385 	 0 	 || 16	 35.6154 	 0 	 || *13	 21.7692 	 16 	 || 
17	19	 63.3077 	 0 	 || 19	 42.5385 	 0 	 || *16	 35.6154 	 0 	 || 19	 28.6923 	 21 	 || 
